Date : 2025-05-31 19:38:45
Directory : c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland
Total : 70 files,  3387 codes, 274 comments, 365 blanks, all 4026 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         39 |      2,979 |        122 |        307 |      3,408 |
| JSON       |         11 |        188 |          0 |          3 |        191 |
| XML        |          9 |        130 |         53 |         13 |        196 |
| YAML       |          3 |         30 |         82 |         19 |        131 |
| HTML       |          1 |         19 |         15 |          5 |         39 |
| Swift      |          2 |         19 |          2 |          6 |         27 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                      |         70 |      3,387 |        274 |        365 |      4,026 |
| . (Files)                                                                                                                              |          4 |         40 |         82 |         26 |        148 |
| android                                                                                                                                |          9 |         77 |         51 |         13 |        141 |
| android (Files)                                                                                                                        |          1 |          3 |          0 |          1 |          4 |
| android\app                                                                                                                            |          7 |         69 |         51 |         11 |        131 |
| android\app\src                                                                                                                        |          7 |         69 |         51 |         11 |        131 |
| android\app\src\debug                                                                                                                  |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                                   |          5 |         63 |         43 |          9 |        115 |
| android\app\src\main (Files)                                                                                                           |          1 |         37 |         11 |          3 |         51 |
| android\app\src\main\res                                                                                                               |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                      |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                  |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                        |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                                  |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                                         |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                                 |          8 |          8 |          0 |          0 |          8 |
| assets\animations                                                                                                                      |          8 |          8 |          0 |          0 |          8 |
| ios                                                                                                                                    |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                                                             |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                                                     |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                                        |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                                             |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                          |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                        |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                  |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                    |         39 |      2,979 |        122 |        307 |      3,408 |
| lib (Files)                                                                                                                            |          1 |         39 |          1 |          3 |         43 |
| lib\models                                                                                                                             |          3 |        156 |          7 |         14 |        177 |
| lib\routes                                                                                                                             |          1 |         32 |          0 |          3 |         35 |
| lib\services                                                                                                                           |          4 |        223 |         33 |         44 |        300 |
| lib\viewmodels                                                                                                                         |          4 |        263 |         45 |         60 |        368 |
| lib\views                                                                                                                              |         13 |      1,647 |         31 |        120 |      1,798 |
| lib\views\admin                                                                                                                        |          7 |        864 |         11 |         72 |        947 |
| lib\views\auth                                                                                                                         |          2 |        527 |          6 |         23 |        556 |
| lib\views\recepcionista                                                                                                                |          1 |         14 |          0 |          3 |         17 |
| lib\views\splash                                                                                                                       |          1 |         71 |          6 |         12 |         89 |
| lib\views\veterinario                                                                                                                  |          1 |         14 |          0 |          3 |         17 |
| lib\views\welcome                                                                                                                      |          1 |        157 |          8 |          7 |        172 |
| lib\widgets                                                                                                                            |         13 |        619 |          5 |         63 |        687 |
| web                                                                                                                                    |          2 |         54 |         15 |          6 |         75 |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
